,name,screen_name,followers_count
0位 橋下徹,@hashimoto_lo,2690677
1位 玉木雄一郎（国民民主党代表）,@tamakiyuichiro,290356
2位 菅野志桜里,@ShioriYamao,107315
3位 国民民主党,@DPFPnews,54973
4位 前原誠司,@Maehara2016,35595
5位 上松 正和🎍,@Uematsu1987,26722
6位 大塚耕平,@kouhei1005mon,22486
7位 矢田わか子／前参議院議員（国民民主党）,@wako0501,21420
8位 伊藤たかえ（国民民主党 参議院議員）,@itotakae0630,16592
9位 岸本周平,@shuheikishimoto,12422
10位 古川元久 (Moto Furukawa),@Fullgen,10575
11位 深作 ヘスス（国民民主党衆議院神奈川19区総支部長）,@FukasakuKj,7559
12位 浅野さとし🌿衆議院議員 | 茨城5区(日立市・高萩市・北茨城市・東海村),@Asano__Satoshi,6619
13位 参議院議員 榛葉賀津也,@SHIMBA_OFFICE,6368
14位 やったるい！ たるい良和【 国民民主党 】,@tarui_yoshikazu,5493
15位 田村まみ(参議院議員、国民民主党 新緑風会派),@mamitamuratw,4864
16位 円より子(まどかよりこ) 国民民主党 衆議院 東京都17区(葛飾区全域・江戸川区小岩・一色・興宮町),@madokayoriko,4141
17位 加藤健一 空飛ぶ車いす社長,@kenbo_yamagata,3932
18位 はまぐち誠(国民民主党　参議院議員　浜口誠　比例代表),@HamaMako0518,3931
19位 大内 一也（国民民主党山口県連）,@ouchi_kazuya,3503
20位 梅津ようせい@山形💛💙,@umetsuyosei,3435
21位 舟山やすえ(参議院議員),@yasue_funayama0,3261
22位 大谷ゆりこ@国民民主党大阪府連副代表,@YurikoOtani,3098
23位 かわい たかのり(国民民主党・参議院議員),@T_KAWAI_SANGIIN,2739
24位 いしいともえ【衆議院・愛媛1区】国民民主党公認候補予定者,@tomoekakuda,2735
25位 田中けん🍵衆議院議員🍵静岡4区🍵国民民主党,@tanaka_shizuoka,2638
26位 斎藤アレックス（国民民主党🐰衆議院議員）,@AlexSaito2019,2572
27位 あさの克彦　埼玉4区 #比例は国民民主党,@katsuhikoasano,2510
28位 竹詰 ひとし（参議院議員・比例代表選出）,@Takezume_H,2358
29位 山崎まや,@YamazakiMaya,2347
30位 大田京子／国民民主党福岡県連 代表,@kyoko_ohta,2070
31位 鈴木あつし｜国民民主党・衆議院議員,@suzukiatsushi_,2062
32位 Kisuzu 🎀 淀きすず【ガールズユニットMEiSM】【 国民民主党 #東かがわ市 】,@Kisuzu_udon,1985
33位 吉村大志郎（旧Shiro）_宮崎県議選2023・国民民主党公認候補予定者,@Shiro117385631,1919
34位 いそざき哲史（国民民主党　参議院議員）,@IsozakiTetsuji,1867
35位 見矢木すえん_横浜市神奈川区 国民民主党から令和5年横浜市政改革に挑戦,@Miyagi_Suen,1635
36位 いそべ 裕和【千葉県議４期・国民民主党】,@hiro914,1609
37位 浜野よしふみ（参議院議員・比例代表選挙選出）,@hamanoyoshifumi,1389
38位 さとう由美（国民民主党衆議院東京第24区総支部長）DPFP衆議院候補予定者,@yumibetterworld,1146
39位 うすきひでたけ／国民民主党北海道連代表,@hide_usuki,1128
40位 足立信也と安心な日本を創る会,@shinya8484,946
41位 中山真珠【静岡市清水区】,@shinju_nakayama,931
42位 元衆議院議員　高橋みほ(高橋美穂),@mihojimukyoku,892
43位 鴇田敦,@tokita812,815
44位 「わたなべひろゆき」オネエでもやれば出来る‼️,@one_ehime,763
45位 ひちわ真理子🐰国民民主党公認候補(八千代市議会議員選挙),@mariko_hichiwa,717
46位 長友しんじ,@nagatomoshinji,611
47位 鈴木ゆうま,@suzuki_yuma1009,582
48位 丹野みどり,@tannomidori,573
49位 小川陽平＠国民民主党,@yoheiogawa_DPFP,464
50位 あさおか志麻@国民民主党公認候補予定者(愛媛県議会),@mirailabo0913,400
51位 松本れいこ／福岡市西区,@reiko_mtsmt,398
52位 前田強(国民民主党高知県連),@maetsuyoshi,395
53位 軽石義則,@karuishi_y,352
54位 とみやまかつゆき(冨山勝之)@国民民主党 公認候補予定者 常総市,@tomiyama_ka,344
55位 佐藤泰樹,@satoyasuki7,331
56位 岩崎さやこ(国民民主党東久留米市政策委員),@IwasakiIwamo,298
57位 珍部芳裕,@chimbeyoshihiro,273
58位 きど かおり,@kaori_kokumin,244
59位 こがゆ康弘,@yasuhirokogayu,233
60位 中村 けいすけ / 福岡県福津市,@ksk_0910,222
61位 永野あつこ,@atsuko_call,195
62位 前野まみこ,@xstHLFBKcyHW7Wv,124
63位 弓洋子_福岡市政に挑戦,@fxI8dS0hrIw6lyl,118
64位 福田とおる,@Toru_Fukuta,117
65位 金野たかやす,@kinno_takayasu,114
66位 鈴木よしひろ,@yosshisuzuki,67
67位 すずき みゆき【寒河江市議会議員】,@suzukimiyuki701,56
68位 竹内淳太郎,@juntarotakeuchi,50
69位 つづきまりこ,@inzai_mariko,49
70位 駒場昭夫,@KzAGu2ES5XwFYUI,44
