id,candidatePrefecture,election,electiondistrict,teisu,name,kana,gender,age,newcomer,continuecount,touseki,license,kokujibi,tohyobi,tousen,twitter,candidatedistrictblock,localcandidate,birthday,age,candidatedistrict,image,hp,url,instagram,facebook,almaMater,detail
1,愛知県,愛知県議会議員選挙,名古屋市千種区,2,黒田　太郎,ｸﾛﾀﾞ　ﾀﾛｳ,男,55,現職,2,有,公認,2023/3/31,2023/4/9,,kuroda__taro,東海,TRUE,1967/1/18,56,愛知県名古屋市千種区,https://new-kokumin.jp/wp-content/uploads/2021/03/62553641afa5e1e0423d5433bc782049-e1666146906691.jpg,,,,,東大経済学部,"1990年　東大経済学部卒業、日銀入行
2002年　大塚耕平参議院議員秘書
2014年　古川元久衆議院議員秘書
2015年　愛知県議会議員"
2,愛知県,愛知県議会議員選挙,名古屋市守山区,2,森井　元志,ﾓﾘｲ　ﾓﾄｼ,男,58,現職,4,有,公認,2023/3/31,2023/4/9,,motoshimorii,東海,TRUE,1963/6/26,59,愛知県名古屋市守山区,https://new-kokumin.jp/wp-content/uploads/2021/03/de24898cddb751a4459aa76c8650657e-scaled-e1665113999493.jpg,愛知県 議会議員 森井もとし Offical Web Site,https://www.morii.org/,motoshimorii,,米国ボストン大学,"米国ボストン大学卒業
1995年ニッセイインターナショナル㈱共同設立
2001年参議院議員大塚耕平公設第一秘書
2003年愛知県議会議員初当選"
3,愛知県,愛知県議会議員選挙,名古屋市名東区,2,富田　昭雄,ﾄﾐﾀﾞ　ｱｷｵ,男,63,現職,5,有,公認,2023/3/31,2023/4/9,,bdxSvtQ8nQ1f7BE,東海,TRUE,1959/1/30,64,愛知県名古屋市名東区,https://new-kokumin.jp/wp-content/uploads/2021/03/0427548f1046d9cf10b83b8aff3ee73b-e1615176114514.jpg,愛知県議会議員 富田昭雄,https://a-tomita.jp/,,,北高等学校,1959年1月30日名古屋市で誕生。名古屋市立猪高中学校、北高等学校卒業。青春時代はラグビーに励む日々。1983年ダイエーに入社。1998年古川事務所に入所、翌1999年県会議員に初当選。
4,愛知県,名古屋市議会議員選挙,西区,4,上園　晋介,ｳｴｿﾞﾉ　ｼﾝｽｹ,男,46,現職,2,有,公認,2023/3/31,2023/4/9,,uechannel249,東海,TRUE,,,愛知県西区,,,,,,,
5,愛知県,名古屋市議会議員選挙,千種区,5,山田　昌弘,ﾔﾏﾀﾞ　ﾏｻﾋﾛ,男,51,現職,3,有,公認,2023/3/31,2023/4/9,,,東海,TRUE,,,愛知県千種区,,,,,,,
6,愛知県,名古屋市議会議員選挙,守山区,5,小川　俊之,ｵｶﾞﾜ　ﾄｼﾕｷ,男,46,現職,4,有,公認,2023/3/31,2023/4/9,,,東海,TRUE,,,愛知県守山区,,,,,,,
7,愛知県,名古屋市議会議員選挙,名東区,5,日比　美咲,ﾋﾋﾞ　ﾐｻｷ,女,37,現職,2,有,公認,2023/3/31,2023/4/9,,,東海,TRUE,,,愛知県名東区,,,,,,,
8,愛知県,愛知県議会議員選挙,名古屋市西区,2,奥田　晋一,ｵｸﾀﾞ　ｼﾝｲﾁ,男,53,新人,,有,公認,2023/3/31,2023/4/9,,okuda_shinichi,東海,TRUE,,,愛知県名古屋市西区,,,,,,,
9,愛知県,名古屋市議会議員選挙,天白区,5,堀田　太規,ﾎｯﾀ　ﾀｲｷ,男,47,元職,1,有,公認,2023/3/31,2023/4/9,,,東海,TRUE,,,愛知県天白区,,,,,,,
10,愛知県,愛知県議会議員選挙,小牧市,2,天野　正基,ｱﾏﾉ　ﾏｻｷ,男,52,現職,4,有,公認,2023/3/31,2023/4/9,,AmanoMasaki,東海,TRUE,,,愛知県小牧市,,,,,,,
11,愛知県,一宮市議会議員選挙,,38,中村　一仁,ﾅｶﾑﾗ　ｶｽﾞﾋﾄ,男,45,現職,2,有,推薦,2023/4/16,2023/4/23,,1orlxjTuNSHD5Ww,東海,TRUE,,,愛知県一宮市,,,,,,,
12,愛知県,春日井市議会議員選挙,,32,伊藤　杏奈,ｲﾄｳ　ｱﾝﾅ,女,44,現職,2,有,公認,2023/4/16,2023/4/23,,itoanna107,東海,TRUE,,,愛知県春日井市,,,,,,,
13,愛知県,小牧市議会議員選挙,,25,小川　真由美,ｵｶﾞﾜ　ﾏﾕﾐ,女,49,現職,4,有,公認,,（2023/10/08）,,mayumi_ogawa,東海,TRUE,,,愛知県小牧市,,,,,,,
14,愛知県,小牧市議会議員選挙,,25,小澤　国大,ｺｻﾞﾜ　ｸﾆﾋﾛ,男,36,現職,3,有,公認,,（2023/10/08）,,,東海,TRUE,,,愛知県小牧市,,,,,,,
15,愛媛県,愛媛県議会議員選挙,松山市・上浮穴郡,16,浅岡　志麻,ｱｻｵｶ　ｼﾏ,女,47,新人,,有,公認,2023/3/31,2023/4/9,,mirailabo0913,四国,TRUE,,,愛媛県松山市・上浮穴郡,https://new-kokumin.jp/wp-content/uploads/2022/09/dbfb83af6f81d0fbd3d05c130500f9f0-e1668421112462.jpg,ミライ∞ラボ,https://sb-mirailabo.net/,shima.asaoka,shima.asaoka,松山大学,"1997年　松山大学人文学部英語英米文学科卒業
1998年　株式会社Egg & Chick入社
2000年　株式会社コンベックス入社
2018年　株式会社ミライ・ラボ創業
大学卒業後、子ども英語教室講師を経て、採用コンサルティング会社に創業メンバーとして参画。中小企業の新卒・中途採用サポートや、大学生の就職支援業務等に約１２年従事。 その後、2018年10月に「自ら考え、自ら選び、自ら学ぶ」“教えない”学習塾「STUDY BASEミライ∞ラボ」を開校し5年目。
株式会社ミライ・ラボ 代表取締役
NPO法人こどものみらいプロジェクトゆめドリ愛媛サテライト 副事務局長
カナエルエヒメ 代表"
16,愛媛県,愛媛県議会議員選挙,西条市,4,塩出　崇,ｼｵﾃﾞ　ﾀｶｼ,男,74,現職,2,有,推薦,2023/3/31,2023/4/9,,,四国,TRUE,,,愛媛県西条市,https://new-kokumin.jp/wp-content/uploads/2023/01/6210f5f35e1c0dd454a6bd7127599d5e-scaled-e1675387389607.jpg,愛媛県議会議員　塩出 崇,http://www.shiode-takashi.com/,,,皇學館大学,"愛媛県議会議員（現職）
【経歴】皇學館大学卒業
新居浜市立商業高等学校教諭
愛媛県立新居浜東高等学校教諭
愛媛県立丹原高等学校教諭
愛媛県立新居浜西高等学校教諭
西条市議会議員（１期）
西條神社宮司 保護司"
17,愛媛県,新居浜市議会議員選挙,,26,加藤　昌延,ｶﾄｳ　ﾏｻﾉﾌﾞ,男,48,新人,,有,公認,2023/4/16,2023/4/23,,estakihabu,四国,TRUE,,,愛媛県新居浜市,https://new-kokumin.jp/wp-content/uploads/2022/11/1ab143d07427d3e4f667e988a9020ad6-scaled.jpg,加藤 まさのぶ ,https://go2senkyo.com/seijika/185912,masanobukato2022,masanobu.kato.92,中日本自動車短期大学,"自動車整備士
キッズスクール「エストレージャ新居浜」代表
新居浜市金子小学校
新居浜市立南中学校
新居浜東高等学校
中日本自動車短期大学卒業"
