,name,screen_name,followers_count
0, 橋下徹,@hashimoto_lo,2680617
1, 玉木雄一郎（国民民主党代表）,@tamakiyuichiro,306726
2, 菅野志桜里,@ShioriYamao,106619
3, 国民民主党,@DPFPnews,57341
4, 前原誠司,@Maehara2016,36293
5, 上松 正和🎍,@Uematsu1987,27214
6, 矢田わか子／前参議院議員（国民民主党）,@wako0501,24084
7, 大塚耕平,@kouhei1005mon,22714
8, 伊藤たかえ（国民民主党 参議院議員）,@itotakae0630,18620
9, 岸本周平,@shuheikishimoto,13028
10, 古川元久 (Moto Furukawa),@Fullgen,10648
11, 深作 ヘスス 国民民主党神奈川19区（横浜市都筑区・川崎市宮前区）,@FukasakuKj,7965
12, 浅野さとし🌿衆議院議員 | 茨城5区(日立市・高萩市・北茨城市・東海村),@Asano__Satoshi,7580
13, 参議院議員 榛葉賀津也,@SHIMBA_OFFICE,6778
14, 田村まみ(参議院議員、国民民主党 新緑風会派),@mamitamuratw,5682
15, やったるい！ たるい良和【 国民民主党 】,@tarui_yoshikazu,5572
16, はまぐち誠(国民民主党　参議院議員　浜口誠　比例代表),@HamaMako0518,4190
17, 円より子(まどかよりこ) 国民民主党 衆議院 東京都17区(葛飾区全域),@madokayoriko,4144
18, 石崎ひでゆき🐰国民民主党公認候補予定者（市川市議会議員選挙）,@h_ishizaki,4101
19, 加藤健一 空飛ぶ車いす社長,@kenbo_yamagata,3915
20, 中村たいすけ｜長崎県議会議員（長崎市選挙区）,@taisuke_nkmr,3800
21, 大内 一也（国民民主党山口県連）,@ouchi_kazuya,3537
22, 深作ゆい｜横浜市都筑区・国民民主党🥟,@fukasakuyui,3515
23, 梅津ようせい 山形県議会議員,@umetsuyosei,3464
24, 舟山やすえ(参議院議員),@yasue_funayama0,3451
25, かわい たかのり(国民民主党・参議院議員),@T_KAWAI_SANGIIN,3102
26, 大谷ゆりこ@国民民主党大阪府連副代表,@YurikoOtani,3042
27, 国民民主党江東区議会議員にへい文隆,@NiheiFumitaka,3013
28, いしいともえ【衆院選愛媛1区・愛媛県議選投票日4月9日・新居浜市議選投票日4月23日】,@tomoekakuda,2952
29, 岡 高志☀️大田区長選挙 立候補準備中4/23 投票日/おかたかし,@okatakashi_oota,2875
30, 斎藤アレックス（国民民主党🐰衆議院議員）,@AlexSaito2019,2721
31, 田中けん🍵衆議院議員🍵静岡4区🍵国民民主党,@tanaka_shizuoka,2682
32, 竹詰 ひとし（国民民主党・参議院議員　比例代表選出）,@Takezume_H,2539
33, あさの克彦　埼玉4区 #国民民主党,@katsuhikoasano,2471
34, 鈴木あつし｜国民民主党・衆議院議員【神奈川18区（川崎市中原区・高津区）】,@suzukiatsushi_,2386
35, 山崎まや,@YamazakiMaya,2338
36, 岡野純子　国民民主党千葉県第5区総支部 総支部長(市川市・浦安市),@junko_okano,2272
37, Kisuzu 🎀 淀きすず【ガールズユニットMEiSM】【 国民民主党 #東かがわ市 】,@Kisuzu_udon,2268
38, 見矢木すえん_横浜市神奈川区 国民民主党から令和5年横浜市政改革に挑戦,@Miyagi_Suen,2243
39, 天野正基 MasakiAMANO,@AmanoMasaki,2169
40, 嘉田由紀子,@kadayukiko,2131
41, 大田京子／国民民主党福岡県連 代表,@kyoko_ohta,2118
42, 伊藤ひでお(岐阜県議会議員 可児市・御嵩町・国民民主党),@hideo_ito,2069
43, 榎本れい🐰国民民主党公認候補予定者(千葉県議会議員選挙・野田市),@ReiEnomoto,2033
44, いそざき哲史（国民民主党　参議院議員）,@IsozakiTetsuji,2020
45, 吉村大志郎（旧Shiro）_宮崎県議選2023・国民民主党公認候補予定者,@Shiro117385631,1996
46, はが道也（芳賀道也）＠山形,@hagamichiya,1988
47, 中谷あやの🐰国民民主党公認候補予定者🐰船橋市議会,@nakataniayano,1931
48, 長谷川たかこ,@hasegawa_takako,1778
49, 橋本みきひこ:千葉県議会議員選挙成田市選挙区,@Hashimoto_Mkhk,1743
50, 国民民主党東京都連,@dpfptokyo,1663
51, 坂本 まさひこ（三鷹市・国民民主党）,@msakamoto1971,1661
52, みさわひろと@2023長岡市にて挑戦！,@New__wind,1613
53, 中山真珠🫧【静岡市清水区】,@shinju_nakayama,1597
54, いそべ 裕和【千葉県議４期・国民民主党】,@hiro914,1585
55, 坂元ゆうき【国民民主党】@目黒区,@rurukisakamoto,1545
56, 浜野よしふみ（参議院議員・国民民主党）,@hamanoyoshifumi,1540
57, 大くま利昭,@okumatoshiaki,1538
58, 岩田 浩岳@島根県議会議員・国民民主党島根県連幹事長,@IwataHirotaka,1352
59, あべ力也(世田谷区議会議員),@abe_rikiya,1342
60, 高沢かずもと,@takazawa1,1329
61, 岩崎さやこ(国民民主党東久留米市政策委員),@IwasakiIwamo,1285
62, くわずるゆき子/国民民主党・渋谷区政策委員(渋谷区),@nadeshiko1000,1277
63, 国民民主党・大阪府連,@kokumin_osaka,1254
64, さとう由美（国民民主党衆議院東京第24区総支部長）DPFP衆議院候補予定者,@yumibetterworld,1220
65, まえだりょう @サンドウェーブ,@ryomaeda_saw,1202
66, うすきひでたけ／国民民主党北海道連代表,@hide_usuki,1193
67, 恒吉ひろゆき🐰国民民主党公認候補予定者（宮崎市議会議員選挙）,@nakahi,1189
68, 山根ふみ子-埼玉県議会議員（川越選出/埼玉民主フォーラム/立憲・国民・無所属）,@yamanefumikogm1,1150
69, 国民民主党北海道総支部連合会,@KokuminHokkaido,1140
70, 関口太一,@SekiguchiTaichi,1126
71, 国民民主党山形県連,@gokokuminymgt,1070
72, 石黒たつお（練馬区議会議員　国民民主党）,@ishiguronerima,1054
73, ひちわ真理子🐰国民民主党　八千代市議会議員,@mariko_hichiwa,1049
74, 鈴木ゆうま（国民民主党　西東京市議会議員）,@suzuki_yuma1009,1018
75, 鎌田(かまだ)やすはる＠国民民主党 和光市政策委員,@KamadaYasuharu,1013
76, 榎本あゆみ＠港区議会議員,@enoayu_minato,1006
77, 超国民民主党滋賀県連★ミ,@dpfp_shiga,967
78, 足立信也と安心な日本を創る会,@shinya8484,962
79, 国民民主党島根県総支部連合会,@dpfp_shimane,920
80, 友保 陽子/Yoko Tomoyasu,@tomoyan_yoko,915
81, 国民民主党栃木県総支部連合会,@dp_tochigi,911
82, 梶原英樹🔥 山科の未来へ出発進行🚃,@kajiwarahideki,901
83, 小牧市議会議員 小川まゆみ,@mayumi_ogawa,896
84, 高橋みほ(高橋美穂)　元衆議院議員,@mihojimukyoku,890
